PowerId,Name,Description,IsDivine,SkillTreeName,Tier,MaximumLevel,RoleId,DeityId,Challenge,Duration,Type
141,"Tempestuous Weapon","Whenever your weapon deals damage, push that target back 2X’. It’s Knocked Down if you got a Critical Hit or Damage.",1,"The Sun",2,3,NULL,7,"Invocation 9","2+X Initiative Rounds","Glorious Power (Blessing)"
142,"Damage Reflection","Whenever you take Damage, a target enemy within 3’ takes X Divine Damage.",1,Justice,2,2,NULL,7,NULL,"1 Initiative Round","Minor Power (Blessing)"
143,"Shamash’s Recompense","When you ask for justice, the target takes an additional X Fire Damage.",1,Justice,2,2,NULL,7,NULL,NULL,Passive
144,"Holy Weapon","Your weapon deals 2X additional Divine damage to Evil targets.",1,Justice,2,3,NULL,7,"Invocation 9","2+X Initiative Rounds","Glorious Power (Blessing)"
145,"Inspire Hope","Allies within line of sight can’t be affected by Status Effects. In addition, they don’t fall Unconscious if they reach 0 or less Health.",1,Aid,2,3,NULL,7,"Leadership 8",NULL,"Major Power (Blessing)"
146,"Shamash’s Compassion","When you ask for aid, you instead regain 4+X health. ",1,Aid,2,2,NULL,7,NULL,NULL,Passive
147,"Divine Toughness","All non-magical damage you take is reduced to 0.",1,Aid,2,2,NULL,7,"Invocation 10","3+X Activations","Glorious Power (Blessing)"
148,"Summon Flaming Chariot","You summon a flaming chariot with a Charioteer. This counts as a chariot, except all damage from it does fire damage. Level 2 gives a Scorpion Man Archer that also rides the chariot. You can mount the Chariot as a Free Action.",1,"The Sun",3,3,NULL,7,"Invocation 12","X+1 Initiative Rounds","Glorious Power"
149,"Banishing Weapon","Your weapon deals Magical Damage. Whenever your weapon deals damage to a Spirit or Demon, it must pass a Challenge 10+X Willpower Test. For each point it fails by, it takes 1 Divine damage.",1,Justice,3,3,NULL,7,"Invocation 11","2+X Initiative Rounds","Glorious Power (Blessing)"
150,Invulnerability,"All damage you take is reduced to 0.",1,Aid,3,2,NULL,7,"Invocation 11","X Initiative Rounds","Glorious Power (Blessing)"
151,"Shamash’s Grace","No ally can go below 1 HP unless already at 1 HP when this Power was cast.",1,Aid,3,1,NULL,7,"Invocation 10","1 Initiative Round","Major Power (Blessing)"
152,"Kill Shot","When using a Ranged Weapon, you get +X to your Damage Score.",0,"The Game",1,2,2,NULL,NULL,NULL,Passive
153,Aim,"You get +X to your Attack Score on your next attack against a declared target you are aiming at. You may use this power once per Activation. The bonus stacks until after an attack is made or a different target is chosen to Aim at.",0,"The Game",1,2,2,NULL,NULL,NULL,"Minor Action (Tactical)"
154,"Far Sight","You count Extreme Long Range as Long Range at Level 1. At Level 2, they both count as Medium Range. At Level 3, get +1 to your Attack Scores with Ranged Weapons.",0,"The Game",1,3,2,NULL,NULL,NULL,Passive
155,"He’s Fast!","X times per session, you may substitute SPD for STR when determining AP.",0,"The Game",2,2,2,NULL,NULL,NULL,Passive
156,"Rapid Shot","You may use the Multiple Attack Action with a Ranged weapon at the cost of 1 additional AP. At level 2, there is no additional cost. You use one ammo per target.",0,"The Game",2,2,2,NULL,NULL,NULL,Passive
157,"Predator’s Eye","Prereqs: Aim 1, Far Sight 1 - Whenever you Aim, you always count your target as being in Short Range unless they are at Extreme Long Range.",0,"The Game",2,1,2,NULL,NULL,NULL,Passive
158,"Hit The Ground Running","When determining Initiative, add D3 to your Score. At Level 2, add D6 instead.",0,"The Game",2,2,2,NULL,NULL,NULL,Passive
159,"Where’d He Go?","Prereq: He’s Fast! 1 - You can now always substitute SPD for STR when determining AP.",0,"The Game",3,1,2,NULL,NULL,NULL,Passive
160,"Pinning Shot","Attack an enemy. If you deal damage, it is Pinned as if from a Wrestle check with a Challenge Rating of 8+X.",0,"The Game",3,2,2,NULL,NULL,NULL,"Full Attack Action (Ranged)"
161,"Piercing Shot","Attack an enemy, and increase the Piercing of the Arrow by X. A Critical Hit or Damage permanently reduces the Target’s Armor by X.",0,"The Game",3,2,2,NULL,NULL,NULL,"Full Attack Action (Ranged)"
162,"Summon Animal Companion","Use once per session. At level 1, can Summon an allied animal companion - Vulture, Snake, Fox, Dog, or Cat. At level 2, can summon 2 Foxes, Dogs, or Cats. You must pass an Animal Handling Test to control.",0,"Wilderness Expert",1,2,2,NULL,"Animals 6",Session,"Major Action (Tactical)"
163,"Nature Healing","Target ally within 2’ regains X+1 lost HP.",0,"Wilderness Expert",1,2,2,NULL,"Healing 7",NULL,"Minor Power"
164,Ranger,"You get +X to your Survival and Perception Scores",0,"Wilderness Expert",1,3,2,NULL,NULL,NULL,Passive
165,"Summon Greater Animal Companion","Prereq: Summon Animal Companion 1 - Use once per session. Summons an allied Lion, Bull, or Bear. Must pass an Animal Handling Test to control.",0,"Wilderness Expert",2,2,2,NULL,"Animals 8","X Initiative Rounds","Major Action (Tactical)"
166,"Man vs. Wild","You can survive X extra days without Life Essentials.",0,"Wilderness Expert",2,2,2,NULL,NULL,NULL,Passive
167,"Night Eyes","Enemies get -X to their Stealth scores to avoid being seen by you, and you can see 10X’ further in the dark.",0,"Wilderness Expert",2,2,2,NULL,NULL,NULL,Passive
168,"The Hunted: Reckoning","Prereq: The Hunted - You may choose up to two enemy types per session for The Hunted.",0,"Wilderness Expert",3,1,2,NULL,NULL,NULL,Passive
169,"Crippling Attack","Attack an enemy. If you deal damage, it halves its SPD for an Initiative Round. At Level 2, it also halves its AGI.",0,"Wilderness Expert",3,2,2,NULL,NULL,NULL,"Full Attack Action"
170,"Triumph of Nature","Prereq: Summon Greater Animal Companion 2 - Animal companions you control get +X bonus dice when attacking and dealing damage.",0,"Wilderness Expert",3,2,2,NULL,NULL,Combat,"Glorious Action"
171,Know-It-All,"Once per session, add X bonus dice to any Knowledge Skill, even an untrained one.",0,Master,1,2,3,NULL,NULL,NULL,Passive
172,"The Hunted","At any point during the session, choose a specific type of enemy, such as a Human Priest.. You get +1 bonus dice to Attack against targets of that type. At Level 2, get +1 bonus dice to Perception checks versus that type",0,"Wilderness Expert",2,2,2,NULL,NULL,NULL,Passive
173,Negotiator,"You get +X to your Persuasion and Social Posturing Scores.",0,Master,1,2,3,NULL,NULL,NULL,Passive
174,"Share Knowledge","Once per session, one ally may add X bonus dice to a Knowledge skill, even an untrained one. You must have at least X in that skill.",0,Master,1,3,3,NULL,NULL,NULL,Passive
175,"Dedicated Practice","Reduce the Experience Point Cost to upgrade any Skill by X, to a minimum of 1.",0,Master,2,2,3,NULL,NULL,NULL,Passive
176,"Dedicated Training","Reduce the Experience Point Cost to upgrade any Attribute by X, to a minimum of 1.",0,Master,2,2,3,NULL,NULL,NULL,Passive
177,Tactician,"At the beginning of a combat encounter but before any Activations, you may move up to your SPD. At level 2, you can move up to double your SPD.",0,Master,2,2,3,NULL,NULL,NULL,Passive
178,"Master Tactician","Prereq: Tactician 2 - At the beginning of a combat encounter but before any Activations, an ally may move up to your SPD. At level 2, it can move up to double your SPD, or up to 2 Allies can move up to your SPD.",0,Master,3,2,3,NULL,NULL,NULL,Passive
179,"Show Them How It’s Done","Choose an ally within 20’. During their next Activation, they may count one of their Class Abilities as one point higher. It can’t go higher than the max level.",0,Master,3,2,3,NULL,"Knowledge 8",NULL,"Minor Action (Tactical)"
180,"Recall Feats of Glory","Until your next activation, all actions that allies take cost 1 AP less, to a minimum of 1.",0,Master,3,1,3,NULL,"Knowledge 10",NULL,"Glorious Action (Tactical)"
181,Assistance,"Allies within hearing distance may reroll up to X results of 1 on their next Test.",0,Leadership,1,2,3,NULL,"Leadership 5",NULL,"Minor Action (Tactical)"
182,"Been There","Pay 1 Faith Point: You and allies within sight get +X to your Initiative Scores for the duration of combat.",0,Leadership,1,2,3,NULL,NULL,NULL,Passive
183,"Seen That","You and allies within 10’ get +X to your Perception Scores.",0,Leadership,1,3,3,NULL,NULL,NULL,Passive
184,"Hold Steady","Allies within hearing distance can’t be Knocked Down or Panic. They also get +X to any Willpower Scores.",0,Leadership,2,3,3,NULL,"Leadership 6","X+1 Initiative Rounds","Minor Action (Tactical)"
185,Inspiration,"Prereq: Assistance 1 - Use X times per session. One ally within 15’ gets +X Action Points. If these Action Points are unspent in a combat, this ability may be used again.",0,Leadership,2,2,3,NULL,"Leadership 7",NULL,"Minor Action (Tactical)"
186,"Rallying Call","Prereq: Inspiration 1 - All allies gain X Action Points.",0,Leadership,3,2,3,NULL,"Leadership 9",NULL,"Major Action (Tactical)"
187,"A Call To Arms","Summons X Bodyguards.",0,Leadership,3,3,3,NULL,"Leadership 10","2 Initiative Rounds","Glorious Action (Tactical)"
188,"Second Wind","All allies get Blessing: You get +3 HP. This power, if it expires, can cause a heavily wounded Champion to fall below 0 and become unconscious, or even die.",0,Leadership,3,2,3,NULL,"Leadership 9","2+X Initiative Rounds","Major Action (Tactical)"
189,"Divine Mediator","You get a Divinity Point. It must be used to increase the level of a Power you have. If all current Powers with Points in them are at maximum level, you may spend it on a new Power.",0,Fortunes,1,1,4,NULL,NULL,NULL,Passive
190,"The Baru","You get +X to your Divination Scores.",0,Fortunes,1,2,4,NULL,NULL,NULL,Passive
191,"Knowledge Seeker","You get +X to your Knowledge Skill Scores.",0,Fortunes,1,3,4,NULL,NULL,NULL,Passive
192,"Component Sorter","When using a Sorcery or Divination component to cast a power, roll a d6. On the result of a 6, the component is not lost and can be used again.",0,Fortunes,1,1,4,NULL,NULL,NULL,Passive
193,"Expert Divine Mediator","Prereq: Divine Mediator 1 - You get a Divinity Point whenever this is taken. It must be used to increase the level of a Power you have. If all current Powers with Points in them are at maximum level, you may spend it on a new Power.",0,Fortunes,2,1,4,NULL,NULL,NULL,Passive
194,"Read the Guts","You may reroll the next X dice on your next test. After taking that test, remove this Blessing.",0,Fortunes,2,3,4,NULL,"Divination 7",NULL,"Major Power (Blessing)"
195,"Interpret It Differently","If you would incur a Minor Failure on a Divination Test, you may also treat it as a Minor Success. At level 2, treat it instead as just a Minor Success.",0,Fortunes,2,2,4,NULL,NULL,NULL,Passive
196,"Master Divine Mediator","Prereq: Expert Divine Mediator 1 - You get a Divinity Point whenever this is taken. It must be used to increase the level of a Power you have. If all current Powers with Points in them are at maximum level, you may spend it on a new Power.",0,Fortunes,3,2,4,NULL,NULL,NULL,Passive
197,"Prolong Their Misfortune","Your Curses last for X Initiative Rounds longer. If they didn’t have a duration, they now last for X Initiative Rounds.",0,Fortunes,3,2,4,NULL,NULL,NULL,Passive
198,"Spirit Invocation","You get +5 to your INT and WIS. You get +3 to your Willpower.",0,Fortunes,3,3,4,NULL,"Divination 8","X+1 Initiative Rounds","Major Power (Blessing)"
199,Practitioner,"You get +X to your Sorcery Scores.",0,Sorcery,1,2,4,NULL,NULL,NULL,Passive
200,"Dispel Power","At level 1, can dispel an enemy Blessing or Curse. Opposed Test is against the Spell type the enemy used. Level 2 gives +1 to your Score.",0,Sorcery,1,2,4,NULL,"Faith + Invocation Opposed",NULL,"Major Power"
201,"Minor Hex","Target within 15 feet gets -X to its next Score.",0,Sorcery,1,3,4,NULL,"Sorcery 7","1 Activation","Minor Power (Curse)"
202,"Enfeebling Curse","Target within 25’ gets -X to its Physical Characteristics. This does not affect Health or Carry Weight.",0,Sorcery,2,2,4,NULL,"Sorcery 8","X Initiative Rounds","Glorious Power (Curse)"
203,"Debilitating Curse","Target within 25’ gets -X to its Combat Characteristics.",0,Sorcery,2,3,4,NULL,"Sorcery 7","1+X Initiative Rounds","Major Power (Curse)"
204,"Consult the Deities","Prereq: Dispel Power 2 - You may now also dispel enemy Divine abilities when you use Dispel Power.",0,Sorcery,2,1,4,NULL,NULL,NULL,Passive
205,"Concealed Casting","You may take a Stealth check to prevent others from knowing you are casting a Minor Power. At level 2, may do the same for Major Powers.",0,Sorcery,3,2,4,NULL,NULL,NULL,Passive
206,"White Magic Incantation","Double your Score for all Willpower Tests when opposing Magic. At Level 2, you may use your Willpower instead of Armor to protect against Attacks.",0,Sorcery,3,2,4,NULL,"Sorcery 10","X+2 Initiative Rounds","Glorious Power (Blessing)"
207,"Overwhelming Power","Whenever you get a Critical Success on a Power, count your Level for that power as 2 Levels higher for purposes of resolution. This may take the power over its maximum.",0,Sorcery,3,1,4,NULL,NULL,NULL,Passive
208,"Divine Mediator","You get a Divinity Point. It must be used to increase the level of a Power you have. If all current Powers with Points in them are at maximum level, you may spend it on a new Power.",0,Devotion,1,1,5,NULL,NULL,NULL,Passive
209,Beseech,"Reroll one dice result of 1 on Invocation Tests. At level 2, you may reroll a dice result of 2. At level 3, up to two dice results of 1 or 2.",0,Devotion,1,3,5,NULL,NULL,NULL,Passive
210,"Tender Care","You get +X to your Healing Scores.",0,Devotion,1,2,5,NULL,NULL,NULL,Passive
211,"Bless Animal","Using a Perception check, you can determine if an animal is worthy of sacrifice. If it is, you may bless it for sacrifice and it becomes a Sacrificial Animal.",0,Devotion,1,1,5,NULL,NULL,NULL,Passive
212,"Expert Divine Mediator","Prereq: Divine Mediator 1 - You get a Divinity Point whenever this is taken. It must be used to increase the level of a Power you have. If all current Powers with Points in them are at maximum level, you may spend it on a new Power.",0,Devotion,2,2,5,NULL,NULL,NULL,Passive
213,"Praise and Glory","You get +X to your Invocation Results.",0,Devotion,2,2,5,NULL,NULL,NULL,Passive
214,"Answered Prayer","You may use your Minor and Major Powers X additional times per session.",0,Devotion,2,2,5,NULL,NULL,NULL,Passive
215,"Pre-eminent Divine Mediator","Prereq: Expert Divine Mediator 1 - You get a Divinity Point whenever this is taken. It must be used to increase the level of a Power you have. If all current Powers with Points in them are at maximum level, you may spend it on a new Power.",0,Devotion,3,3,5,NULL,NULL,NULL,Passive
216,"Forthright Prayer","Prereq: Answered Prayer 1 - You may use all Powers two additional times per session.",0,Devotion,3,1,5,NULL,NULL,NULL,Passive
217,"Soothing Hymns","Whenever an ally uses a Faith Point to reroll a dice roll, it may further reroll the Faith Point if the result is a 1. At level 2, it may reroll the Faith Point if the result is a 2.",0,Devotion,3,2,5,NULL,NULL,NULL,Passive
218,"Dispel Power","The Opposed Test is against the Attribute+Skill the enemy used to cast a blessing or curse. Level 2 gives +1 to your result, Level 3 gives +2 instead. If you win the Opposed Test, remove that blessing or curse.",0,Ritual,1,3,5,NULL,"Faith + Invocation Opposed",NULL,"Minor Power"
219,"Healing Word","A target ally within 20’ regains a number of HP equal to the difference of your success and the challenge rating + X.",0,Ritual,1,4,5,NULL,"Healing 7",NULL,"Major Power"
220,"I Say A Little Prayer","You may use your Minor and Major Powers an additional time per session.",0,Ritual,1,1,5,NULL,NULL,NULL,Passive
221,"Healing Aura","Prereq: Healing Word 3 - You and allies within 5’ of you heal HP equal to the difference of your success and the challenge rating + X.",0,Ritual,2,2,5,NULL,"Healing 10",NULL,"Major Power"
222,"Salt Circle","When you use Salt Circle, you must discard a Salt item from your Inventory. If you do, draw a circle (Circumference ~16’, Diameter ~5’) around you. Evil beings to pass a Willpower 7+X test to attack you and/or any ally wholly within it.",0,Ritual,2,2,5,NULL,NULL,NULL,"Major Action (Tactical)"
223,"Blessed Sacrifice","Ordain an animal as a sacrifice, and make a sacrifice.",0,Ritual,2,1,5,NULL,"Invocation 9",NULL,"Major Power"
224,"Improved Results","You may use an additional component whenever you use a Healing power. If you do, double the results of the Healing.",0,Ritual,3,1,5,NULL,NULL,NULL,Passive
225,"Direct Conduit","Prereq: Blessed Sacrifice - Whenever you use a Glorious Power slot to cast a Minor or Major Power, improve the Level of that power by 1. This may take the power over its maximum level.",0,Ritual,3,1,5,NULL,NULL,NULL,Passive
226,Exorcise,"Target Evil magical being or Demon within 35’ must pass a Willpower 12+X Test or take 1 Divine Damage for each point it failed the test by.",0,Ritual,3,3,5,NULL,"Invocation 12",NULL,"Major Power (Curse)"
227,"Trained Full Attack","When using any Full Attack action, you may reroll up to X dice results of 1 for Attack or Damage.",0,Champion,1,2,6,NULL,NULL,NULL,Passive
228,Counter-Strike,"When Parrying, if you win the Opposed Test, you can Attack back using up to X Attack dice.",0,Champion,1,3,6,NULL,NULL,NULL,Passive
229,"Eagle Eye","You count Extreme Long Range as Long Range at Level 1. At Level 2, they both count as Medium Range.",0,Champion,1,2,6,NULL,NULL,NULL,Passive
230,Inspirational,"Whenever you kill an enemy, all allies within sight of you get +1 to their next Damage Score.",0,Champion,1,1,6,NULL,NULL,NULL,Passive
231,"Improved Defense","When defending against multiple enemies, you get 1 bonus dice against each attacker.",0,Champion,2,1,6,NULL,NULL,NULL,Passive
232,"Divine Notice","The first time you kill an enemy in a combat round, you get +X to your Invocation tests until combat ends.",0,Champion,2,2,6,NULL,NULL,NULL,Passive
233,"Flurry of Blows","You may Attack a single target twice. However, you must split your Attack dice as evenly as you can between the two Attacks. At Level 2, you don’t need to split your Attack dice and use the full amount each time.",0,Champion,2,2,6,NULL,NULL,NULL,"Full Attack Action"
234,"Shield Push","Requires an equipped Shield. After an enemy attacks you, you may pay 1 Action Point. After that attack is resolved, you can Attack back using X attack dice. Then the enemy is pushed back 2X’ whether or not they were damaged.",0,Champion,2,2,6,NULL,NULL,NULL,Passive
235,"Impenetrable Defense","At the beginning of your activation, you may spend Action Points. For every 2 Action Points you spend, add X to your Defense Score until the next Initiative Round.",0,Champion,3,2,6,NULL,NULL,NULL,Passive
236,"Expert Full Attack","Prereq: Trained Full Attack 1 - X times per Initiative Round, you may treat a Full Attack as a Minor Action. You must still pay the AP as if it was a Major Action",0,Champion,3,2,6,NULL,NULL,NULL,Passive
237,"Divine Favor","Prereq: Divine Notice - The next Divine Power you use after killing an enemy in combat costs 1 AP less.",0,Champion,3,1,6,NULL,NULL,NULL,Passive
238,"Improved Powerful Attack","When using a Powerful Attack action, you get +X to your Attack Score.",0,Slayer,1,2,6,NULL,NULL,NULL,Passive
239,Taunt,"You get +X to your Intimidation and Persuasion Scores when attempting to incite an enemy to attack you.",0,Slayer,1,2,6,NULL,NULL,NULL,Passive
240,"Play It Again","When using an Attack Action, if you score Critical Damage, you get X AP.",0,Slayer,1,2,6,NULL,NULL,NULL,Passive
241,Fervor,"You get +1 to your Initiative Scores.",0,Slayer,1,1,6,NULL,NULL,NULL,Passive
242,"Enraged Multiple Attacks","Prereq: Improved Powerful Attack 1 - When using the Multiple Strike attack, you get X bonus dice to allocate between targets.",0,Slayer,2,3,6,NULL,NULL,NULL,Passive
243,Berserk,"You get X bonus dice when rolling to Damage, but enemies get X bonus dice to Damage against you.",0,Slayer,2,2,6,NULL,NULL,"1 Initiative Round","Minor Action (Tactical)"
244,Overrun,"Whenever you kill an enemy, you may move up to your SPD. It must take you closer to an enemy if possible.",0,Slayer,2,1,6,NULL,NULL,NULL,Passive
245,"Overwhelming Attack","Attack a single target. You may spend up to 2X Action Points as you attack. Add 1 to your Attack Score for each Action Point spent this way.",0,Slayer,2,2,6,NULL,NULL,NULL,"Full Attack Action"
246,"The Rush Of Battle","Prereq: Overrun, Fervor - Whenever you kill an enemy, roll XD6. If you get at least one result of 6, you get an Action Point.",0,Slayer,3,3,6,NULL,NULL,NULL,Passive
247,"Adrenaline Surge","For the rest of Combat, you may perform one additional Minor or Major Action when you Activate and may spend up 4 AP per Activation. You may perform any Movement or Attack Action an additional time.",0,Slayer,3,1,6,NULL,NULL,NULL,"Glorious Action"
248,"Leaping Strike","You may move up to your SPD + X, ignoring intervening obstacles 6’ or lower and attack an enemy with a melee weapon. You get +X to your Attack Score. This movement does not provoke Attacks of Opportunity.",0,Slayer,3,1,6,NULL,NULL,NULL,"Glorious Action (Attack)"
249,"Accurate Focused Attack","You get +X to your Score when using a Focused Attack",0,Subterfuge,1,2,7,NULL,NULL,NULL,Passive
250,"Hyper Critical Attack","When using a Focused Attack, a single dice result of 6 when rolling to Attack is a Critical Hit. At Level 2, a single dice result of 6 when rolling to Damage is Critical Damage. Further rolls of 6 give +1 to the roll as well.",0,Subterfuge,1,2,7,NULL,NULL,NULL,Passive
251,"Evade Detection","You get +X to your Stealth Scores",0,Subterfuge,1,3,7,NULL,NULL,NULL,Passive
252,"Deceptive Strike","Attack a single target. Your target gets -X to their Defense Score.",0,Subterfuge,2,2,7,NULL,NULL,NULL,"Full Attack Action"
253,Assassination,"When attacking an Unaware or Surprised Enemy, you get +X to your Attack Scores.",0,Subterfuge,2,3,7,NULL,NULL,NULL,Passive
254,"Never Saw Them","Prereq: Evade Detection 3 - Add your Dodge Rating to your Stealth Scores. This bonus is lost in any combat where you attack.",0,Subterfuge,2,1,7,NULL,NULL,NULL,Passive
255,Ouch,"Add X to the challenge of enemies finding your traps.",0,Subterfuge,2,2,7,NULL,NULL,NULL,Passive
256,"Disarming Strike","Attack a single target. If you hit your target, they drop a weapon they are currently equipped with.",0,Subterfuge,3,1,7,NULL,NULL,NULL,"Full Attack Action"
257,"Disengaging Strike","Attack a single target. When you hit your target, you may immediately move up to your SPD + X away. This movement will not provoke an Attack of Opportunity, and can ignore any obstacles under 5’ high.",0,Subterfuge,3,2,7,NULL,NULL,NULL,"Full Attack Action"
258,"Sower of Doubt","Whenever you successfully pass an Intimidation, Seduction, or Persuasion check - also decrease the target’s INT and WIS by X for the next minute/Initiative Round.",0,Subterfuge,3,2,7,NULL,NULL,NULL,Passive
259,Con,"You get +X to your Persuasion Scores",0,Infiltration,1,3,7,NULL,NULL,NULL,Passive
260,"Mental Wounds Never Heal","You get +X to Intimidation Scores",0,Infiltration,1,3,7,NULL,NULL,NULL,Passive
261,"Gather Information","When attempting to gather information on a target, get +X to your Social Posturing Score",0,Infiltration,1,2,7,NULL,NULL,NULL,Passive
262,"In Plain Sight","Prereq: Con - You get +X to your Disguise Scores",0,Infiltration,2,2,7,NULL,NULL,NULL,Passive
263,"Feign Knowledge","Prereq: Gather Information 1 - You may use your Persuasion instead of Knowledge for any Knowledge check, but targets can use Social Posturing to detect. At level 2, targets get -2 to their Score.",0,Infiltration,2,2,7,NULL,NULL,NULL,Passive
264,"Poisoned Strike","Attack a single target. If you do damage, they are Poisoned: They take 1 damage whenever they Activate.",0,Infiltration,2,2,7,NULL,NULL,"X Initiative Rounds","Full Attack Action"
265,"The Seeker","Can Climb using Agility rather than Strength. At level 2, multiply move speed by 3 rather than 2.",0,Infiltration,2,2,7,NULL,NULL,NULL,Passive
266,"Psychological Warfare","As a Free Action, can Intimidate a target. It gets -X to its Defense Score for the rest of the Initiative Round if it is Intimidated.",0,Infiltration,3,2,7,NULL,NULL,NULL,Passive
267,Spymaster,"You have access to X additional Rogue Citizen, Merchant, or Informant Connections. They may be in different cities.",0,Infiltration,3,3,7,NULL,NULL,NULL,Passive
268,"Silent Strike","Attack a single target. If you kill your target and you are undetected, no Stealth check is needed - you remain undetected.",0,Infiltration,3,1,7,NULL,NULL,NULL,"Full Attack Action"
